ticker,name,market,locale,primary_exchange,type,active,currency_name,composite_figi,share_class_figi,last_updated_utc,cik
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,BBG000C2V3D6,BBG001SCTQY4,2025-12-02T07:05:58.6039315Z,0001090872
AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,BBG00B3T3HD3,BBG00B3T3HF1,2025-12-02T07:05:58.603933294Z,0001675149
AAA,Alternative Access First Priority CLO Bond ETF,stocks,us,ARCX,ETF,True,usd,BBG01B0JRCS6,BBG01B0JRCT5,2025-12-02T07:05:58.603933404Z,0001776878
AAAA,Amplius Aggressive Asset Allocation ETF,stocks,us,BATS,ETF,True,usd,BBG01W275XX6,BBG01W275ZB5,2025-12-02T07:05:58.603933674Z,
AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,True,usd,BBG00LPXX872,BBG00LPXX8Z1,2025-12-02T07:05:58.603933805Z,0001708646
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,,,2025-12-02T07:05:58.603933915Z,0002034334
AACBR,Artius II Acquisition Inc. Rights,stocks,us,XNAS,RIGHT,True,usd,,,2025-12-02T07:05:58.603934035Z,0002034334
AACBU,Artius II Acquisition Inc. Units,stocks,us,XNAS,UNIT,True,usd,,,2025-12-02T07:05:58.603934165Z,0002034334
AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,BBG000V2S3P6,BBG001T125S9,2025-12-02T07:05:58.603934626Z,0001420529
AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,True,usd,BBG000BDYRW6,BBG001T9B1Y4,2025-12-02T07:05:58.603934746Z,0001408970
AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,BBG005P7Q881,BBG005P7Q907,2025-12-02T07:05:58.603934877Z,0000006201
AALG,Leverage Shares 2X Long AAL Daily ETF,stocks,us,XNAS,ETF,True,usd,BBG01VH49P35,BBG01VH49Q06,2025-12-02T07:05:58.603934987Z,0001976322
AAM,AA Mission Acquisition Corp.,stocks,us,XNYS,CS,True,usd,,,2025-12-02T07:05:58.603935107Z,0002012964
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,True,usd,,,2025-12-02T07:05:58.603935227Z,0002012964
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",stocks,us,XNYS,WARRANT,True,usd,,,2025-12-02T07:05:58.603936339Z,0002012964
AAME,Atlantic American Corp,stocks,us,XNAS,CS,True,usd,BBG000B9XB24,BBG001S5N8T1,2025-12-02T07:05:58.60393646Z,0000008177
AAMI,Acadian Asset Management Inc.,stocks,us,XNYS,CS,True,usd,BBG00P2HLNY3,BBG00P2HLNZ2,2025-12-02T07:05:58.60393681Z,0001748824
AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,True,usd,BBG000D6VW15,BBG001SG47G4,2025-12-02T07:05:58.60393693Z,0001158114
AAON,Aaon Inc,stocks,us,XNAS,CS,True,usd,BBG000C2LZP3,BBG001S6CZK0,2025-12-02T07:05:58.603937051Z,0000824142
AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,True,usd,BBG000F7RCJ1,BBG001SD2SB2,2025-12-02T07:05:58.603937171Z,0001158449
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,stocks,us,XNAS,ETF,True,usd,BBG0193F21N2,BBG0193F22H7,2025-12-02T07:05:58.603937291Z,0001689873
AAPD,Direxion Daily AAPL Bear 1X Shares,stocks,us,XNAS,ETF,True,usd,BBG0193YGJ57,BBG0193YGK09,2025-12-02T07:05:58.603937411Z,
AAPG,Ascentage Pharma Group International American Depository Shares,stocks,us,XNAS,ADRC,True,usd,BBG01RJXM9C9,BBG01RJXMB89,2025-12-02T07:05:58.603937722Z,0002023311
AAPL,Apple Inc.,stocks,us,XNAS,CS,True,usd,BBG000B9XRY4,BBG001S5N8V8,2025-12-02T07:05:58.603937842Z,0000320193
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,stocks,us,BATS,ETF,True,usd,BBG01M698CQ1,BBG01M698DK5,2025-12-02T07:05:58.603938063Z,0001415726
AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares,stocks,us,XNAS,ETF,True,usd,BBG0193YBZ92,BBG0193YC043,2025-12-02T07:05:58.603938193Z,
AAPW,Roundhill AAPL WeeklyPay ETF,stocks,us,BATS,ETF,True,usd,BBG01SCFVRC3,BBG01SCFVS86,2025-12-02T07:05:58.603938303Z,
AAPX,T-Rex 2X Long Apple Daily Target ETF,stocks,us,BATS,ETF,True,usd,BBG01KY72SD3,BBG01KY72T78,2025-12-02T07:05:58.603938493Z,
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,stocks,us,BATS,ETF,True,usd,BBG01QY0GMH9,BBG01QY0GNH7,2025-12-02T07:05:58.603938614Z,0001848758
AARD,"Aardvark Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,BBG01223DLB2,BBG01223DLC1,2025-12-02T07:05:58.603938734Z,0001774857
